branch,branch_to,counterparty,credit_account,credit_account_2,credit_amount,credit_amount_2,currency,date,debit_account,debit_amount,description,event_name,id,recurrence,trade_good,type
London,,Gold Merchant,Loans Receivable,Interest Income,705.63,127.01,florin,1402-06-09,Cash,832.64,Loan repayment from Gold Merchant with interest,,20759,,,loan_repayment
Avignon,,Wool Guild Syndicate,Trading Revenue,,41295.58,,florin,1402-06-09,Cash,41295.58,Trade finance settlement for grain cargo,,20760,,grain,trade_transaction
Geneva,,Flemish Cloth House,Cash,,107282.42,,florin,1402-06-09,Loans Receivable,107282.42,Commercial loan issued to Flemish Cloth House,,20761,,,loan_issuance
London,,Florentine Paperworks,Cash,,4471.84,,florin,1402-06-09,Maintenance,4471.84,Maintenance expense for London branch (quarterly cycle),,20762,quarterly,,recurring_operating_expense
Pisa,,Signoria Utilities Office,Cash,,16691.63,,florin,1402-06-09,Accounts Payable,16691.63,Vendor payment to Signoria Utilities Office for branch services,,20763,,,vendor_payment
Venice,,Mediterranean Shipping Company,Trading Revenue,,15034.73,,florin,1402-06-09,Cash,15034.73,Trade finance settlement for wine cargo,,20764,,wine,trade_transaction
Venice,,Guildhall Security Company,Cash,,43225.96,,florin,1402-06-10,Accounts Payable,43225.96,Vendor payment to Guildhall Security Company for branch services,,20765,,,vendor_payment
Florence,,Republic of Florence,Cash,,7587637.82,,florin,1402-06-11,Loans Receivable - Government,7587637.82,Loan to Venice for Lombardy Wars operations,,20766,,,war_financing
Rome,,Marquis of Mantua,Loans Receivable,Interest Income,20865.57,1669.25,florin,1402-06-11,Cash,22534.82,Loan repayment from Marquis of Mantua including interest,,20767,,,loan_repayment
Avignon,,Republic of Florence,Loans Receivable,Interest Income,16202.22,3564.49,florin,1402-06-11,Cash,19766.71,Loan repayment from Republic of Florence including interest,,20768,,,loan_repayment
Naples,Pisa,Inter-branch transfer to Pisa,Cash,Exchange Fee Revenue,4998.37,76.12,florin,1402-06-11,Due from Pisa,5074.49,Branch settlement transfer from Naples to Pisa,,20769,,,branch_activity
Pisa,,Signoria Utilities Office,Cash,,1207.89,,florin,1402-06-11,Wages,1207.89,Wages expense for Pisa branch (monthly cycle),,20770,monthly,,recurring_operating_expense
Milan,,Lombard Metals Exchange,Trading Revenue,,7938.50,,florin,1402-06-11,Cash,7938.50,Trade finance settlement for wine cargo,,20771,,wine,trade_transaction
Pisa,,Mediterranean Shipping Company,Cash,,48745.99,,florin,1402-06-11,Loans Receivable,48745.99,Commercial loan issued to Mediterranean Shipping Company,,20772,,,loan_issuance
Rome,,Papal Court,Deposits Payable,,27603.39,,florin,1402-06-12,Cash,27603.39,Deposit from Papal Court to Rome branch,,20773,,,deposit
Geneva,,Marquis,Loans Receivable,Interest Income,4411.20,529.34,florin,1402-06-12,Cash,4940.54,Loan repayment from Marquis with interest,,20774,,,loan_repayment
London,Bruges,Inter-branch transfer to Bruges,Cash,Exchange Fee Revenue,12429.21,189.28,florin,1402-06-12,Due from Bruges,12618.49,Branch settlement transfer from London to Bruges,,20775,,,branch_activity
Naples,,Ponte Vecchio Rent Office,Cash,,2284.52,,florin,1402-06-12,Accounts Payable,2284.52,Vendor payment to Ponte Vecchio Rent Office for branch services,,20776,,,vendor_payment
London,,Flemish Cloth House,Cash,,615850.20,,florin,1402-06-12,Loans Receivable,615850.20,Commercial loan issued to Flemish Cloth House,,20777,,,loan_issuance
Milan,,Duke of Milan,Loans Receivable,Interest Income,17885.76,1788.58,florin,1402-06-12,Cash,19674.34,Loan repayment from Duke of Milan including interest,,20778,,,loan_repayment
Pisa,Naples,Inter-branch transfer to Naples,Cash,Exchange Fee Revenue,10386.87,158.18,florin,1402-06-12,Due from Naples,10545.05,Branch settlement transfer from Pisa to Naples,,20779,,,branch_activity
Florence,,Republic of Florence,Cash,,118599.68,,florin,1402-06-12,Loans Receivable,118599.68,Commercial loan issued to Republic of Florence,,20780,,,loan_issuance
Venice,,Guildhall Security Company,Cash,,8712.65,,florin,1402-06-12,Accounts Payable,8712.65,Vendor payment to Guildhall Security Company for branch services,,20781,,,vendor_payment
Rome,,Medici Political Network,Cash,,206791.87,,florin,1402-06-13,Political Receivable,206791.87,Funds advanced for Cosimo de' Medici exile logistics and correspondence,Cosimo Exile Logistics,20782,,,political_event
Milan,,Wine Trader,Loans Receivable,Interest Income,35264.99,6700.35,florin,1402-06-13,Cash,41965.34,Loan repayment from Wine Trader with interest,,20783,,,loan_repayment
Florence,Rome,Inter-branch transfer to Rome,Cash,Exchange Fee Revenue,3969.71,60.45,florin,1402-06-13,Due from Rome,4030.16,Branch settlement transfer from Florence to Rome,,20784,,,branch_activity
Geneva,,Signoria Utilities Office,Cash,,837.36,,florin,1402-06-13,Supplies,837.36,Supplies expense for Geneva branch (monthly cycle),,20785,monthly,,recurring_operating_expense
Rome,,Santa Maria Scribes,Cash,,2261.80,,florin,1402-06-13,Security,2261.80,Security expense for Rome branch (monthly cycle),,20786,monthly,,recurring_operating_expense
Naples,,Kingdom of Naples,Cash,,41346.30,,florin,1402-06-13,Loans Receivable,41346.30,Commercial loan issued to Kingdom of Naples,,20787,,,loan_issuance
Avignon,,Duke of Milan,Loans Receivable,Interest Income,28097.56,4214.63,florin,1402-06-14,Cash,32312.19,Loan repayment from Duke of Milan with interest,,20788,,,loan_repayment
Milan,,Transfer to London,Cash,Exchange Fee Revenue,18827.23,544.34,florin,1402-06-14,Due from London,19371.57,Bill of exchange from Milan to London,,20789,,,bill_of_exchange
Avignon,,Silk Trader,Cash,,84923.42,,florin,1402-06-14,Deposits Payable,84923.42,Withdrawal by Silk Trader,,20790,,,withdrawal
Rome,,Banking House,Trading Revenue,,2218.78,,florin,1402-06-14,Cash,2218.78,Alum sale from papal mines,,20791,,,alum_trade
Avignon,Rome,Inter-branch transfer to Rome,Cash,Exchange Fee Revenue,14446.53,220.00,florin,1402-06-14,Due from Rome,14666.53,Branch settlement transfer from Avignon to Rome,,20792,,,branch_activity
Venice,Bruges,Inter-branch transfer to Bruges,Cash,Exchange Fee Revenue,21766.59,331.47,florin,1402-06-14,Due from Bruges,22098.06,Branch settlement transfer from Venice to Bruges,,20793,,,branch_activity
Venice,,Wool Merchant,Trading Revenue,,225.21,,florin,1402-06-15,Cash,225.21,Alum sale from papal mines,,20794,,,alum_trade
Rome,,Wool Guild Syndicate,Trading Revenue,,21659.39,,florin,1402-06-15,Cash,21659.39,Trade finance settlement for wine cargo,,20795,,wine,trade_transaction
London,,Count of Urbino,Cash,,379411.01,,florin,1402-06-15,Loans Receivable,379411.01,Commercial loan issued to Count of Urbino,,20796,,,loan_issuance
Pisa,,San Lorenzo Couriers,Cash,,22254.05,,florin,1402-06-15,Supplies,22254.05,Supplies expense for Pisa branch (monthly cycle),,20797,monthly,,recurring_operating_expense
Bruges,,Republic of Florence,Loans Receivable,Interest Income,41811.70,5017.40,florin,1402-06-15,Cash,46829.10,Loan repayment from Republic of Florence including interest,,20798,,,loan_repayment
Florence,,Diplomatic Envoys,Cash,,5800.52,,florin,1402-06-16,Political Influence Expense,5800.52,Funding to stabilize guild coalition before council deliberations,Guild Coalition Funding,20799,,,political_event
Avignon,,Spice Merchant,Cash,,1359.29,,florin,1402-06-16,Deposits Payable,1359.29,Withdrawal by Spice Merchant,,20800,,,withdrawal
Milan,London,Inter-branch transfer to London,Cash,Exchange Fee Revenue,1088.43,16.58,florin,1402-06-16,Due from London,1105.01,Branch settlement transfer from Milan to London,,20801,,,branch_activity
Geneva,Milan,Inter-branch transfer to Milan,Cash,Exchange Fee Revenue,123872.19,1886.38,florin,1402-06-16,Due from Milan,125758.57,Branch settlement transfer from Geneva to Milan,,20802,,,branch_activity
London,Rome,Inter-branch transfer to Rome,Cash,Exchange Fee Revenue,597.08,9.09,florin,1402-06-16,Due from Rome,606.17,Branch settlement transfer from London to Rome,,20803,,,branch_activity
Rome,,Transfer to London,Cash,Exchange Fee Revenue,1263.58,25.52,florin,1402-06-17,Due from London,1289.10,Bill of exchange from Rome to London,,20804,,,bill_of_exchange
Florence,Bruges,Inter-branch transfer to Bruges,Cash,Exchange Fee Revenue,41613.91,633.71,florin,1402-06-17,Due from Bruges,42247.62,Branch settlement transfer from Florence to Bruges,,20805,,,branch_activity
Bruges,,Marquis of Mantua,Loans Receivable,Interest Income,64588.33,9688.25,florin,1402-06-17,Cash,74276.58,Loan repayment from Marquis of Mantua including interest,,20806,,,loan_repayment
Bruges,,Gold Merchant,Cash,,4727.32,,florin,1402-06-18,Loans Receivable,4727.32,Loan issued to Gold Merchant from Bruges branch,,20807,,,loan_issuance
Rome,,Wool Merchant,Deposits Payable,,71149.27,,florin,1402-06-18,Cash,71149.27,Deposit by Wool Merchant,,20808,,,deposit
Bruges,Venice,Inter-branch transfer to Venice,Cash,Exchange Fee Revenue,32243.44,491.02,florin,1402-06-18,Due from Venice,32734.46,Branch settlement transfer from Bruges to Venice,,20809,,,branch_activity
London,,Flemish Cloth House,Trading Revenue,,7611.60,,florin,1402-06-18,Cash,7611.60,Trade finance settlement for wine cargo,,20810,,wine,trade_transaction
Pisa,,Ponte Vecchio Rent Office,Cash,,4787.08,,florin,1402-06-18,Maintenance,4787.08,Maintenance expense for Pisa branch (quarterly cycle),,20811,quarterly,,recurring_operating_expense
Geneva,,Lombard Metals Exchange,Trading Revenue,,136613.49,,florin,1402-06-18,Cash,136613.49,Trade finance settlement for wool cargo,,20812,,wool,trade_transaction
Pisa,,Wool Guild Syndicate,Cash,,90122.62,,florin,1402-06-18,Loans Receivable,90122.62,Commercial loan issued to Wool Guild Syndicate,,20813,,,loan_issuance
Avignon,,Grain Merchant,Cash,,47286.94,,florin,1402-06-19,Loans Receivable,47286.94,Loan issued to Grain Merchant from Avignon branch,,20814,,,loan_issuance
Bruges,,Count of Urbino,Cash,,353262.21,,florin,1402-06-19,Loans Receivable,353262.21,Commercial loan issued to Count of Urbino,,20815,,,loan_issuance
Avignon,,Silk Consortium,Cash,,94696.99,,florin,1402-06-19,Loans Receivable,94696.99,Commercial loan issued to Silk Consortium,,20816,,,loan_issuance
Naples,Milan,Inter-branch transfer to Milan,Cash,Exchange Fee Revenue,7114.16,108.34,florin,1402-06-20,Due from Milan,7222.50,Branch settlement transfer from Naples to Milan,,20817,,,branch_activity
Avignon,,Flemish Cloth House,Trading Revenue,,175125.15,,florin,1402-06-20,Cash,175125.15,Trade finance settlement for grain cargo,,20818,,grain,trade_transaction
London,Rome,Inter-branch transfer to Rome,Cash,Exchange Fee Revenue,4243.92,64.63,florin,1402-06-20,Due from Rome,4308.55,Branch settlement transfer from London to Rome,,20819,,,branch_activity
Bruges,,Guildhall Security Company,Cash,,1915.48,,florin,1402-06-20,Security,1915.48,Security expense for Bruges branch (monthly cycle),,20820,monthly,,recurring_operating_expense
Venice,,Republic of Florence,Cash,,12337.60,,florin,1402-06-20,Loans Receivable,12337.60,Commercial loan issued to Republic of Florence,,20821,,,loan_issuance
Pisa,,Santa Maria Scribes,Cash,,1487.43,,florin,1402-06-21,Security,1487.43,Security expense for Pisa branch (monthly cycle),,20822,monthly,,recurring_operating_expense
Avignon,,Spice Merchant,Deposits Payable,,7152.25,,florin,1402-06-22,Cash,7152.25,Deposit by Spice Merchant,,20823,,,deposit
Naples,,San Lorenzo Couriers,Cash,,1831.28,,florin,1402-06-22,Courier Services,1831.28,Courier Services expense for Naples branch (weekly cycle),,20824,weekly,,recurring_operating_expense
Geneva,,Levant Spice Traders,Loans Receivable,Interest Income,7461.62,1343.09,florin,1402-06-22,Cash,8804.71,Loan repayment from Levant Spice Traders including interest,,20825,,,loan_repayment
Rome,,Santa Maria Scribes,Cash,,4557.07,,florin,1402-06-22,Supplies,4557.07,Supplies expense for Rome branch (monthly cycle),,20826,monthly,,recurring_operating_expense
Florence,,Republic of Florence,Cash,,910409.84,,florin,1402-06-23,Loans Receivable - Government,910409.84,War financing for Florentine operations against Milan,,20827,,,war_financing
Milan,,Guildhall Security Company,Cash,,1215.99,,florin,1402-06-23,Rent,1215.99,Rent expense for Milan branch (monthly cycle),,20828,monthly,,recurring_operating_expense
Milan,,Venetian Grain Brokers,Cash,,181350.57,,florin,1402-06-23,Loans Receivable,181350.57,Commercial loan issued to Venetian Grain Brokers,,20829,,,loan_issuance
Venice,,Doge of Venice,Cash,,61476.13,,florin,1402-06-24,Deposits Payable,61476.13,Withdrawal by Doge of Venice,,20830,,,withdrawal
London,,Spice Merchant,Deposits Payable,,162181.02,,florin,1402-06-24,Cash,162181.02,Deposit by Spice Merchant,,20831,,,deposit
Pisa,,Ponte Vecchio Rent Office,Cash,,2036.11,,florin,1402-06-24,Security,2036.11,Security expense for Pisa branch (monthly cycle),,20832,monthly,,recurring_operating_expense
London,,Ponte Vecchio Rent Office,Cash,,6063.91,,florin,1402-06-24,Accounts Payable,6063.91,Vendor payment to Ponte Vecchio Rent Office for branch services,,20833,,,vendor_payment
Bruges,,King of Naples,Cash,,29558.62,,florin,1402-06-25,Loans Receivable,29558.62,Loan issued to King of Naples from Bruges branch,,20834,,,loan_issuance
London,Geneva,Inter-branch transfer to Geneva,Cash,Exchange Fee Revenue,144087.59,2194.23,florin,1402-06-25,Due from Geneva,146281.82,Branch settlement transfer from London to Geneva,,20835,,,branch_activity
London,Naples,Inter-branch transfer to Naples,Cash,Exchange Fee Revenue,8582.48,130.70,florin,1402-06-25,Due from Naples,8713.18,Branch settlement transfer from London to Naples,,20836,,,branch_activity
Pisa,,Mediterranean Shipping Company,Loans Receivable,Interest Income,148872.72,14887.27,florin,1402-06-25,Cash,163759.99,Loan repayment from Mediterranean Shipping Company including interest,,20837,,,loan_repayment
Milan,,Lord,Cash,,9489.15,,florin,1402-06-26,Deposits Payable,9489.15,Withdrawal by Lord,,20838,,,withdrawal
Geneva,,Levant Spice Traders,Trading Revenue,,46705.51,,florin,1402-06-26,Cash,46705.51,Trade finance settlement for wine cargo,,20839,,wine,trade_transaction
Avignon,,Florentine Paperworks,Cash,,1707.72,,florin,1402-06-26,Supplies,1707.72,Supplies expense for Avignon branch (monthly cycle),,20840,monthly,,recurring_operating_expense
Pisa,,Guildhall Security Company,Cash,,11398.25,,florin,1402-06-26,Supplies,11398.25,Supplies expense for Pisa branch (monthly cycle),,20841,monthly,,recurring_operating_expense
Avignon,,Kingdom of Naples,Loans Receivable,Interest Income,4153.30,913.73,florin,1402-06-26,Cash,5067.03,Loan repayment from Kingdom of Naples including interest,,20842,,,loan_repayment
Geneva,,Wool Guild Syndicate,Cash,,86548.64,,florin,1402-06-26,Loans Receivable,86548.64,Commercial loan issued to Wool Guild Syndicate,,20843,,,loan_issuance
Bruges,,Transfer to Milan,Cash,Exchange Fee Revenue,2952.46,72.91,florin,1402-06-27,Due from Milan,3025.37,Bill of exchange from Bruges to Milan,,20844,,,bill_of_exchange
Rome,,Papal Curia,Deposits Payable,,19173.94,,florin,1402-06-27,Cash,19173.94,Deposit from Papal Curia to Rome branch,,20845,,,deposit
London,,Banking House,Loans Receivable,Interest Income,122549.92,30637.48,florin,1402-06-27,Cash,153187.40,Loan repayment from Banking House with interest,,20846,,,loan_repayment
Rome,,Signoria Utilities Office,Cash,,8098.02,,florin,1402-06-27,Accounts Payable,8098.02,Vendor payment to Signoria Utilities Office for branch services,,20847,,,vendor_payment
Rome,,Signoria Utilities Office,Cash,,2963.06,,florin,1402-06-27,Rent,2963.06,Rent expense for Rome branch (monthly cycle),,20848,monthly,,recurring_operating_expense
Naples,Rome,Inter-branch transfer to Rome,Cash,Exchange Fee Revenue,8564.03,130.42,florin,1402-06-27,Due from Rome,8694.45,Branch settlement transfer from Naples to Rome,,20849,,,branch_activity
London,,Trading Company,Loans Receivable,Interest Income,6205.06,744.61,florin,1402-06-28,Cash,6949.67,Loan repayment from Trading Company with interest,,20850,,,loan_repayment
Pisa,,Mediterranean Shipping Company,Trading Revenue,,11210.87,,florin,1402-06-28,Cash,11210.87,Trade finance settlement for silk cargo,,20851,,silk,trade_transaction
London,,Wool Guild Syndicate,Trading Revenue,,17624.13,,florin,1402-06-28,Cash,17624.13,Trade finance settlement for grain cargo,,20852,,grain,trade_transaction
Venice,,Levant Spice Traders,Trading Revenue,,3005.66,,florin,1402-06-28,Cash,3005.66,Trade finance settlement for silk cargo,,20853,,silk,trade_transaction
Naples,,San Lorenzo Couriers,Cash,,11026.63,,florin,1402-06-28,Accounts Payable,11026.63,Vendor payment to San Lorenzo Couriers for branch services,,20854,,,vendor_payment
Avignon,,Levant Spice Traders,Loans Receivable,Interest Income,76140.49,9136.86,florin,1402-06-28,Cash,85277.35,Loan repayment from Levant Spice Traders including interest,,20855,,,loan_repayment
Pisa,,Flemish Cloth House,Cash,,60752.36,,florin,1402-06-28,Loans Receivable,60752.36,Commercial loan issued to Flemish Cloth House,,20856,,,loan_issuance
Pisa,,Mercato Maintenance Works,Cash,,431.17,,florin,1402-06-28,Rent,431.17,Rent expense for Pisa branch (monthly cycle),,20857,monthly,,recurring_operating_expense
Naples,,San Lorenzo Couriers,Cash,,478.40,,florin,1402-06-28,Supplies,478.40,Supplies expense for Naples branch (monthly cycle),,20858,monthly,,recurring_operating_expense
Florence,,Republic of Florence,Cash,,392658.31,,florin,1402-06-29,Loans Receivable - Government,392658.31,Emergency war financing for Florence defense,,20859,,,war_financing
Milan,,Wool Guild Syndicate,Trading Revenue,,103912.03,,florin,1402-06-29,Cash,103912.03,Trade finance settlement for silk cargo,,20860,,silk,trade_transaction
Pisa,,Mediterranean Shipping Company,Trading Revenue,,17894.39,,florin,1402-06-29,Cash,17894.39,Trade finance settlement for dyestuffs cargo,,20861,,dyestuffs,trade_transaction
Milan,Avignon,Inter-branch transfer to Avignon,Cash,Exchange Fee Revenue,87819.54,1337.35,florin,1402-06-29,Due from Avignon,89156.89,Branch settlement transfer from Milan to Avignon,,20862,,,branch_activity
Avignon,,Avignon Operations,Cash,,9736.81,,florin,1402-06-30,Supplies,9736.81,Supplies expense for Avignon branch,,20863,,,operating_expense
Milan,,Baron,Cash,,16498.58,,florin,1402-06-30,Deposits Payable,16498.58,Withdrawal by Baron,,20864,,,withdrawal
Venice,,Republic of Florence,Loans Receivable,Interest Income,28834.74,4325.21,florin,1402-06-30,Cash,33159.95,Loan repayment from Republic of Florence including interest,,20865,,,loan_repayment
Venice,,Venetian Grain Brokers,Trading Revenue,,16539.40,,florin,1402-06-30,Cash,16539.40,Trade finance settlement for dyestuffs cargo,,20866,,dyestuffs,trade_transaction
Bruges,,Tuscan Wine Carriers,Trading Revenue,,47725.19,,florin,1402-06-30,Cash,47725.19,Trade finance settlement for wool cargo,,20867,,wool,trade_transaction
Venice,,Venice Operations,Cash,,3796.61,,florin,1402-07-01,Maintenance,3796.61,Maintenance expense for Venice branch,,20868,,,operating_expense
Venice,,Santa Maria Scribes,Cash,,3325.04,,florin,1402-07-01,Maintenance,3325.04,Maintenance expense for Venice branch (quarterly cycle),,20869,quarterly,,recurring_operating_expense
Florence,Avignon,Inter-branch transfer to Avignon,Cash,Exchange Fee Revenue,15030.71,228.89,florin,1402-07-01,Due from Avignon,15259.60,Branch settlement transfer from Florence to Avignon,,20870,,,branch_activity
Pisa,Geneva,Inter-branch transfer to Geneva,Cash,Exchange Fee Revenue,5445.35,82.92,florin,1402-07-01,Due from Geneva,5528.27,Branch settlement transfer from Pisa to Geneva,,20871,,,branch_activity
Bruges,Naples,Inter-branch transfer to Naples,Cash,Exchange Fee Revenue,11994.60,182.66,florin,1402-07-01,Due from Naples,12177.26,Branch settlement transfer from Bruges to Naples,,20872,,,branch_activity
Venice,,Guildhall Security Company,Cash,,4529.03,,florin,1402-07-01,Rent,4529.03,Rent expense for Venice branch (monthly cycle),,20873,monthly,,recurring_operating_expense
Geneva,,Levant Spice Traders,Trading Revenue,,20502.23,,florin,1402-07-01,Cash,20502.23,Trade finance settlement for grain cargo,,20874,,grain,trade_transaction
Rome,,Mediterranean Shipping Company,Trading Revenue,,7564.44,,florin,1402-07-01,Cash,7564.44,Trade finance settlement for spices cargo,,20875,,spices,trade_transaction
Florence,,Florence Operations,Cash,,1377.91,,florin,1402-07-03,Wages,1377.91,Wages expense for Florence branch,,20876,,,operating_expense
Avignon,,Wool Guild Syndicate,Loans Receivable,Interest Income,373319.60,44798.35,florin,1402-07-03,Cash,418117.95,Loan repayment from Wool Guild Syndicate including interest,,20877,,,loan_repayment
Venice,,Levant Spice Traders,Loans Receivable,Interest Income,118149.76,25992.95,florin,1402-07-03,Cash,144142.71,Loan repayment from Levant Spice Traders including interest,,20878,,,loan_repayment
Venice,,Lombard Metals Exchange,Cash,,456733.58,,florin,1402-07-03,Loans Receivable,456733.58,Commercial loan issued to Lombard Metals Exchange,,20879,,,loan_issuance
Florence,,Jewel Trader,Cash,,14329.95,,florin,1402-07-04,Deposits Payable,14329.95,Withdrawal by Jewel Trader,,20880,,,withdrawal
Florence,,Levant Spice Traders,Loans Receivable,Interest Income,400655.89,88144.30,florin,1402-07-04,Cash,488800.19,Loan repayment from Levant Spice Traders including interest,,20881,,,loan_repayment
Milan,,Republic of Florence,Loans Receivable,Interest Income,217220.03,47788.41,florin,1402-07-04,Cash,265008.44,Loan repayment from Republic of Florence including interest,,20882,,,loan_repayment
Rome,,Doge of Venice,Loans Receivable,Interest Income,14005.36,2520.96,florin,1402-07-04,Cash,16526.32,Loan repayment from Doge of Venice including interest,,20883,,,loan_repayment
Bruges,,Santa Maria Scribes,Cash,,15011.03,,florin,1402-07-04,Accounts Payable,15011.03,Vendor payment to Santa Maria Scribes for branch services,,20884,,,vendor_payment
Bruges,,Mediterranean Shipping Company,Loans Receivable,Interest Income,15585.69,3428.85,florin,1402-07-04,Cash,19014.54,Loan repayment from Mediterranean Shipping Company including interest,,20885,,,loan_repayment
Milan,,Venetian Grain Brokers,Cash,,233215.92,,florin,1402-07-04,Loans Receivable,233215.92,Commercial loan issued to Venetian Grain Brokers,,20886,,,loan_issuance
Florence,,Spice Merchant,Deposits Payable,,2623.84,,florin,1402-07-05,Cash,2623.84,Deposit by Spice Merchant,,20887,,,deposit
Rome,,Republic of Florence,Loans Receivable,Interest Income,154098.22,33901.61,florin,1402-07-05,Cash,187999.83,Loan repayment from Republic of Florence including interest,,20888,,,loan_repayment
Naples,,Santa Maria Scribes,Cash,,6778.06,,florin,1402-07-05,Accounts Payable,6778.06,Vendor payment to Santa Maria Scribes for branch services,,20889,,,vendor_payment
London,,Mercato Maintenance Works,Cash,,7204.30,,florin,1402-07-05,Accounts Payable,7204.30,Vendor payment to Mercato Maintenance Works for branch services,,20890,,,vendor_payment
Pisa,,Venetian Grain Brokers,Cash,,36073.72,,florin,1402-07-05,Loans Receivable,36073.72,Commercial loan issued to Venetian Grain Brokers,,20891,,,loan_issuance
Florence,,Republic of Florence,Cash,,166635.67,,florin,1402-07-06,Loans Receivable - Government,166635.67,War financing for Florentine operations against Milan,,20892,,,war_financing
Florence,,Republic of Florence,Cash,,775543.95,,florin,1402-07-06,Loans Receivable - Government,775543.95,Emergency war financing for Florence defense,,20893,,,war_financing
London,,Mediterranean Shipping Company,Loans Receivable,Interest Income,16983.62,1698.36,florin,1402-07-06,Cash,18681.98,Loan repayment from Mediterranean Shipping Company including interest,,20894,,,loan_repayment
Venice,,Venetian Grain Brokers,Trading Revenue,,24191.03,,florin,1402-07-06,Cash,24191.03,Trade finance settlement for silk cargo,,20895,,silk,trade_transaction
Florence,,Mercato Maintenance Works,Cash,,4092.48,,florin,1402-07-06,Rent,4092.48,Rent expense for Florence branch (monthly cycle),,20896,monthly,,recurring_operating_expense
Avignon,,Flemish Cloth House,Trading Revenue,,4117.16,,florin,1402-07-06,Cash,4117.16,Trade finance settlement for wool cargo,,20897,,wool,trade_transaction
Geneva,,Kingdom of Naples,Cash,,35343.60,,florin,1402-07-06,Loans Receivable,35343.60,Commercial loan issued to Kingdom of Naples,,20898,,,loan_issuance
Florence,,Wool Guild Syndicate,Trading Revenue,,143039.00,,florin,1402-07-07,Cash,143039.00,Trade finance settlement for silk cargo,,20899,,silk,trade_transaction
Avignon,,Mediterranean Shipping Company,Cash,,100809.20,,florin,1402-07-07,Loans Receivable,100809.20,Commercial loan issued to Mediterranean Shipping Company,,20900,,,loan_issuance
Milan,,Mediterranean Shipping Company,Loans Receivable,Interest Income,39515.52,7112.79,florin,1402-07-07,Cash,46628.31,Loan repayment from Mediterranean Shipping Company including interest,,20901,,,loan_repayment
Rome,,Spice Merchant,Cash,,94622.93,,florin,1402-07-08,Deposits Payable,94622.93,Withdrawal by Spice Merchant,,20902,,,withdrawal
London,,Ponte Vecchio Rent Office,Cash,,3284.37,,florin,1402-07-08,Maintenance,3284.37,Maintenance expense for London branch (quarterly cycle),,20903,quarterly,,recurring_operating_expense
Florence,Naples,Inter-branch transfer to Naples,Cash,Exchange Fee Revenue,8456.52,128.78,florin,1402-07-08,Due from Naples,8585.30,Branch settlement transfer from Florence to Naples,,20904,,,branch_activity
Florence,,Wool Guild Syndicate,Trading Revenue,,111421.66,,florin,1402-07-08,Cash,111421.66,Trade finance settlement for dyestuffs cargo,,20905,,dyestuffs,trade_transaction
London,,Levant Spice Traders,Loans Receivable,Interest Income,31990.06,2559.20,florin,1402-07-08,Cash,34549.26,Loan repayment from Levant Spice Traders including interest,,20906,,,loan_repayment
Venice,,Republic of Florence,Loans Receivable,Interest Income,81533.52,12230.03,florin,1402-07-08,Cash,93763.55,Loan repayment from Republic of Florence including interest,,20907,,,loan_repayment
Florence,,Santa Maria Scribes,Cash,,17106.76,,florin,1402-07-08,Rent,17106.76,Rent expense for Florence branch (monthly cycle),,20908,monthly,,recurring_operating_expense
London,Milan,Inter-branch transfer to Milan,Cash,Exchange Fee Revenue,15189.67,231.31,florin,1402-07-08,Due from Milan,15420.98,Branch settlement transfer from London to Milan,,20909,,,branch_activity
Rome,,Papal Curia,Deposits Payable,,37476.30,,florin,1402-07-09,Cash,37476.30,Deposit from Papal Curia to Rome branch,,20910,,,deposit
Rome,,Cardinal's Office,Deposits Payable,,32868.02,,florin,1402-07-09,Cash,32868.02,Deposit from Cardinal's Office to Rome branch,,20911,,,deposit
Rome,,Arno Lamp Oil Merchants,Cash,,5136.07,,florin,1402-07-09,Accounts Payable,5136.07,Vendor payment to Arno Lamp Oil Merchants for branch services,,20912,,,vendor_payment
Florence,,Flemish Cloth House,Trading Revenue,,20344.61,,florin,1402-07-09,Cash,20344.61,Trade finance settlement for wool cargo,,20913,,wool,trade_transaction
Florence,,Signoria Utilities Office,Cash,,7878.10,,florin,1402-07-09,Accounts Payable,7878.10,Vendor payment to Signoria Utilities Office for branch services,,20914,,,vendor_payment
Rome,Naples,Inter-branch transfer to Naples,Cash,Exchange Fee Revenue,8665.94,131.97,florin,1402-07-09,Due from Naples,8797.91,Branch settlement transfer from Rome to Naples,,20915,,,branch_activity
Venice,,Arno Lamp Oil Merchants,Cash,,1035.11,,florin,1402-07-09,Rent,1035.11,Rent expense for Venice branch (monthly cycle),,20916,monthly,,recurring_operating_expense
Venice,,Armor Smith,Trading Revenue,,29944.53,,florin,1402-07-10,Cash,29944.53,Alum sale from papal mines,,20917,,,alum_trade
Milan,,Silk Consortium,Trading Revenue,,15427.06,,florin,1402-07-10,Cash,15427.06,Trade finance settlement for dyestuffs cargo,,20918,,dyestuffs,trade_transaction
Milan,,Flemish Cloth House,Loans Receivable,Interest Income,10311.85,1546.78,florin,1402-07-10,Cash,11858.63,Loan repayment from Flemish Cloth House including interest,,20919,,,loan_repayment
Avignon,,Grain Merchant,Cash,,10673.66,,florin,1402-07-11,Deposits Payable,10673.66,Withdrawal by Grain Merchant,,20920,,,withdrawal
London,,Silk Consortium,Trading Revenue,,42233.75,,florin,1402-07-11,Cash,42233.75,Trade finance settlement for spices cargo,,20921,,spices,trade_transaction
