branch,debit_account,counterparty,amount,transaction_count
Venice,Security,Signoria Utilities Office,122077.75,24
Venice,Security,Venice Operations,169973.52,51
Venice,Supplies,Arno Lamp Oil Merchants,50363.05,21
Venice,Supplies,Florentine Paperworks,151303.10,30
Venice,Supplies,Guildhall Security Company,117985.41,19
Venice,Supplies,Mercato Maintenance Works,94314.24,22
Venice,Supplies,Ponte Vecchio Rent Office,79209.74,24
Venice,Supplies,San Lorenzo Couriers,153889.82,36
Venice,Supplies,Santa Maria Scribes,112713.38,26
Venice,Supplies,Signoria Utilities Office,168800.48,25
Venice,Supplies,Venice Operations,92875.29,45
Venice,Wages,Arno Lamp Oil Merchants,122007.38,27
Venice,Wages,Florentine Paperworks,97057.47,27
Venice,Wages,Guildhall Security Company,115902.26,31
Venice,Wages,Mercato Maintenance Works,146282.57,32
Venice,Wages,Ponte Vecchio Rent Office,166566.32,39
Venice,Wages,San Lorenzo Couriers,119502.68,25
Venice,Wages,Santa Maria Scribes,114410.39,29
Venice,Wages,Signoria Utilities Office,105806.51,26
Venice,Wages,Venice Operations,567749.79,56
